Target,Solution1,Solution2,Solution3
Amborella_trichopoda_NC_005086,NC_005086,Amborella_trichopoda,NC005086
Amborella_N116_corr,N116,Amborella,N116
Illicium_flori_117N,117N,Illicium_flori,117N
Illicium_oligandrum_NC_009600,NC_009600,Illicium_oligandrum,NC009600
Austrobaileya_scand_115N,115N,Austrobaileya_scand,115N
Schisandra_rubi_151N,151N,Schisandra_rubi,151N
Schisandra_chinensis_KU362793,KU362793,Schisandra_chinensis,KU362793
Brasenia_schreberi_NY106_USA_Virginia,NY106,Brasenia_schreberi,NY106_USA_Virginia
Brasenia_schreberi_NY586_NC_031343_Genome,NC_031343,Brasenia_schreberi,NY586_NC031343
Cabomba_caroliniana_NY112_USA_Virginia,NY112,Cabomba_caroliniana,NY112_USA_Virginia
Cabomba_caroliniana_NY112_KT705317_Genome,KT705317,Cabomba_caroliniana,NY112_KT705317
Barclaya_longifolia_NY665_KY284156_Genome,KY284156,Barclaya_longifolia,NY665_KY284156
Barclaya_longiflora_NY376,NY376,Barclaya_longiflora,NY376
Trithuria_filamentosa_KF696682_Genome,KF696682,Trithuria_filamentosa,KF696682
Trithuria_inconspicua_NC_020372_Genome,NC_020372,Trithuria_inconspicua,NC020372
Nuphar_japonica_NY400,NY400,Nuphar_japonica,NY400
Nuphar_lutea_NY107,NY107,Nuphar_lutea,NY107
Nuphar_pumila_GenBank,Npum_GB,Nuphar_pumila,GenBank???
Nuphar_polysepala_GenBank,Npol_GB,Nuphar_polysepala,GenBank???
Nuphar_advena_NC_008788_Genome,NC_008788,Nuphar_advena,NC008788
Nuphar_advena_NY080,NY080,Nuphar_advena,NY080
Nuphar_advena_ssp_advena_USA_Virginia_NY108,NY108,Nuphar_advena_ssp_advena,NY108_USA_Virginia
Victoria_cruziana_NY316_KY001813_Genome,KY001813,Victoria_cruziana,NY316_KY001813
Victoria_cruziana_NY316,NY316,Victoria_cruziana,NY316
Victoria_Longwood_Hybrid_NY378,NY378,Victoria_Longwood_Hybrid,NY378
Euryale_ferox_NY015,NY015,Euryale_ferox,NY015
Nymphaea_alba_NY592_KU234277_Genome,KU234277,Nymphaea_alba,NY592_KU234277
Nymphaea_alba_NC_006050_Genome,NC_006050,Nymphaea_alba,NC006050
Nymphaea_alba_NY056,NY056,Nymphaea_alba,NY056
Nymphaea_alba_NY061,NY061,Nymphaea_alba,NY061
Nymphaea_colchica_NY402,NY402,Nymphaea_colchica,NY402
Nymphaea_leibergii_NY267_Canada_Sas,NY267,Nymphaea_leibergii,NY267_Canada_Sas
Nymphaea_leibergii_NY440_Canada_Man,NY440,Nymphaea_leibergii,NY440_Canada_Man
Nymphaea_leibergii_NY270_USA_Min,NY270,Nymphaea_leibergii,NY270_USA_Min
Nymphaea_leibergii_NY264_USA_Mai,NY264,Nymphaea_leibergii,NY264_USA_Mai
Nymphaea_leibergii_NY506,NY506,Nymphaea_leibergii,NY506
Nymphaea_odorata_ssp_tuberosa_NY512_USA_Ver,NY512,Nymphaea_odorata_ssp_tuberosa,NY512_USA_Ver
Nymphaea_odorata_NY508_USA_Ver,NY508,Nymphaea_odorata,NY508_USA_Ver
Nymphaea_odorata_ssp_tuberosa_NY509_USA_Mai,NY509,Nymphaea_odorata_ssp_tuberosa,NY509_USA_Mai
Nymphaea_odorata_ssp_tuberosa_NY513_USA_Mai,NY513,Nymphaea_odorata_ssp_tuberosa,NY513_USA_Mai
Nymphaea_odorata_ssp_tuberosa_NY269_Canada_Man,NY269,Nymphaea_odorata_ssp_tuberosa,NY269_Canada_Man
Nymphaea_odorata_ssp_tuberosa_NY511_Canada_Man,NY511,Nymphaea_odorata_ssp_tuberosa,NY511_Canada_Man
Nymphaea_odorata_ssp_odorata_NY012_USA_Geo,NY012,Nymphaea_odorata_ssp_odorata,NY012_USA_Geo
Nymphaea_odorata_ssp_odorata_NY033_USA_Flo,NY033,Nymphaea_odorata_ssp_odorata,NY033_USA_Flo
Nymphaea_pygmaea_NY234,NY234,Nymphaea_pygmaea,NY234
Nymphaea_tetragona_NY514_Canada_Man,NY514,Nymphaea_tetragona,NY514_Canada_Man
Nymphaea_tetragona_N265_Canada_Man,N265,Nymphaea_tetragona,N265_Canada_Man
Nymphaea_tetragona_NY060_Finland,NY060,Nymphaea_tetragona,NY060_Finland
Nymphaea_tetragona_NY572_Canada_BC,NY572,Nymphaea_tetragona,NY572_Canada_BC
Nymphaea_vossiana_NY515_Canada_Sas,NY515,Nymphaea_vossiana,NY515_Canada_Sas
Nymphaea_vossiana_NY575_Canada_Man,NY575,Nymphaea_vossiana,NY575_Canada_Man
Nymphaea_vossiana_NY268_Canada_Sas,NY268,Nymphaea_vossiana,NY268_Canada_Sas
Nymphaea_mexicana_NC_024542_Genome,NC_024542,Nymphaea_mexicana,NC024542
Nymphaea_mexicana_NY069_USA_Flo,NY069,Nymphaea_mexicana,NY069_USA_Flo
Nymphaea_mexicana_KN008_USA_Tex,KN008,Nymphaea_mexicana,KN008_USA_Tex
Nymphaea_tenerinervia_NY140,NY140,Nymphaea_tenerinervia,NY140
Nymphaea_amazonum_NY428,NY428,Nymphaea_amazonum,NY428
Nymphaea_novogranatensis_NY021,NY021,Nymphaea_novogranatensis,NY021
Nymphaea_belophylla_NY027,NY027,Nymphaea_belophylla,NY027
Nymphaea_potamophila_NY389,NY389,Nymphaea_potamophila,NY389
Nymphaea_rudgeana_NY032,NY032,Nymphaea_rudgeana,NY032
Nymphaea_rudgeana_NY124,NY124,Nymphaea_rudgeana,NY124
Nymphaea_lingulata_NY029,NY029,Nymphaea_lingulata,NY029
Nymphaea_oxypetala_NY387,NY387,Nymphaea_oxypetala,NY387
Nymphaea_conardii_NY022,NY022,Nymphaea_conardii,NY022
Nymphaea_gardneriana_NY026,NY026,Nymphaea_gardneriana,NY026
Nymphaea_glandulifera_NY390,NY390,Nymphaea_glandulifera,NY390
Nymphaea_jamesoniana_NY072_USA_Flo_NC_031826_Genome,NC_031826,Nymphaea_jamesoniana,NY072_NC031826_USA_Flo
Nymphaea_jamesoniana_NY071_USA_Flo,NY071,Nymphaea_jamesoniana,NY071_USA_Flo
Nymphaea_jamesoniana_NY098_Ecuador,NY098,Nymphaea_jamesoniana,NY098_Ecuador
Nymphaea_lotus_ssp_thermalis_NY003,NY003,Nymphaea_lotus_ssp_thermalis,NY003
Nymphaea_lotus_ssp_thermalis_NY105,NY105,Nymphaea_lotus_ssp_thermalis,NY105
Nymphaea_lotus_ssp_lotus_NY078,NY078,Nymphaea_lotus_ssp_lotus,NY078
Nymphaea_pubescens_NY406,NY406,Nymphaea_pubescens,NY406
Nymphaea_petersiana_NY058,NY058,Nymphaea_petersiana,NY058
Nymphaea_gracilis_NY025,NY025,Nymphaea_gracilis,NY025
Nymphaea_gracilis_NY429,NY429,Nymphaea_gracilis,NY429
Nymphaea_elegans_NY006,NY006,Nymphaea_elegans,NY006
Nymphaea_elegans_NY370,NY370,Nymphaea_elegans,NY370
Nymphaea_ampla_NY100,NY100,Nymphaea_ampla,NY100
Nymphaea_ampla_NY666_KU189255_Genome,KU189255,Nymphaea_ampla,NY666_KU189255
Nymphaea_colorata_NY122,NY122,Nymphaea_colorata,NY122
Nymphaea_micrantha_NY563,NY563,Nymphaea_micrantha,NY563
Nymphaea_micrantha_NY562,NY562,Nymphaea_micrantha,NY562
Nymphaea_guinensis_NY555,NY555,Nymphaea_guinensis,NY555
Nymphaea_guinensis_NY559,NY559,Nymphaea_guinensis,NY559
Nymphaea_guinensis_NY557,NY557,Nymphaea_guinensis,NY557
Nymphaea_guinensis_NY564,NY564,Nymphaea_guinensis,NY564
Nymphaea_caerulea_NY113,NY113,Nymphaea_caerulea,NY113
Nymphaea_micrantha_NY007,NY007,Nymphaea_micrantha,NY007
Nymphaea_heudelotii_NY066,NY066,Nymphaea_heudelotii,NY066
Nymphaea_thermarum_NY065,NY065,Nymphaea_thermarum,NY065
Nympaea_ondinea_NY377,NY377,Nymphaea_ondinea,NY377
Nymphaea_hastifolia_NY134,NY134,Nymphaea_hastifolia,NY134
Nymphaea_violacea_NY110,NY110,Nymphaea_violacea,NY110
Nymphaea_elleniae_NY137,NY137,Nymphaea_elleniae,NY137
Nymphaea_elleniae_NY103,NY103,Nymphaea_elleniae,NY103
Nymphaea_macrosperma_NY127,NY127,Nymphaea_macrosperma,NY127
Nymphaea_gigantea_NY067,NY067,Nymphaea_gigantea,NY067
Nymphaea_gigantea_NY126,NY126,Nymphaea_gigantea,NY126
Nymphaea_atrans_NY102,NY102,Nymphaea_atrans,NY102
Nymphaea_immutabilis_NY121,NY121,Nymphaea_immutabilis,NY121
